Sample File,C:\Users\VanceLab\Desktop\VL_CU_SMPS_APS_CADR_20220726\VL_CU_SMPS_CADR_20220726_SmokeOreck_Trial2.S82,
AIM Version,10.3.1.0
Classifier Model,3082       ,Classifier S/N,3082021905001   ,Classifier Firmware Version,2.60
Neutralizer Model,3088,Neutralizer S/N,3088011906004
Impactor (cm),0.071,Impactor S/N,7100764
DMA Model,3081,DMA S/N,3081A1903007
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3750,Detector S/N,3750190603,Nano Enhancer , None
Detector Sample Flow (L/min),1.00,Detector Inlet Flow (L/min),1.00
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),25.40
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Units,Concentration (DW)
Weight,Mass
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
Date,7/26/2022,7/26/2022,7/26/2022,7/26/2022,7/26/2022,7/26/2022,7/26/2022,7/26/2022,7/26/2022,7/26/2022,7/26/2022,7/26/2022,7/26/2022,7/26/2022,7/26/2022,7/26/2022,7/26/2022,7/26/2022,7/26/2022,7/26/2022,7/26/2022,7/26/2022,7/26/2022,7/26/2022,7/26/2022,7/26/2022,7/26/2022
Start Time,12:45:00,12:48:00,12:51:00,12:54:00,12:57:00,13:00:00,13:03:00,13:06:00,13:09:00,13:12:00,13:15:00,13:18:00,13:21:00,13:24:00,13:27:00,13:30:00,13:33:00,13:36:00,13:39:00,13:42:00,13:45:00,13:48:01,13:50:59,13:54:00,13:57:01,14:00:00,14:02:59
Sample Temp (C),23.1,23.1,23.2,23.3,23.3,23.4,23.4,23.5,23.5,23.5,23.5,23.6,23.6,23.7,23.7,23.7,23.8,23.8,23.8,23.9,23.9,23.9,24.0,24.0,24.0,24.0,24.1
Sample Pressure (kPa),81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5
Relative Humidity (%),57.8,57.4,57.2,57.1,57.0,56.8,56.8,56.7,56.6,56.5,56.4,56.3,56.2,56.2,56.1,56.1,56.0,56.0,55.9,55.8,55.8,55.7,55.7,55.7,55.6,55.6,55.5
Mean Free Path (m),8.36861e-008,8.36861e-008,8.37220e-008,8.37579e-008,8.37579e-008,8.37939e-008,8.37939e-008,8.38298e-008,8.38298e-008,8.38298e-008,8.38298e-008,8.38657e-008,8.38657e-008,8.39016e-008,8.39016e-008,8.39016e-008,8.39376e-008,8.39376e-008,8.39376e-008,8.39735e-008,8.39735e-008,8.39735e-008,8.40094e-008,8.40094e-008,8.40094e-008,8.40094e-008,8.40454e-008
Gas Viscosity (Pa*s),1.83293e-005,1.83293e-005,1.83340e-005,1.83388e-005,1.83388e-005,1.83436e-005,1.83436e-005,1.83484e-005,1.83484e-005,1.83484e-005,1.83484e-005,1.83531e-005,1.83531e-005,1.83579e-005,1.83579e-005,1.83579e-005,1.83627e-005,1.83627e-005,1.83627e-005,1.83674e-005,1.83674e-005,1.83674e-005,1.83722e-005,1.83722e-005,1.83722e-005,1.83722e-005,1.83770e-005
Diameter Midpoint (nm)
 15.7,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 16.3,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
