Sample File,C:\Users\VanceLab\Desktop\VL_CU_SMPS_APS_CADR_20220726\VL_CU_SMPS_CADR_20220726_SmokeOreck_Trial1.S82,
AIM Version,10.3.1.0
Classifier Model,3082       ,Classifier S/N,3082021905001   ,Classifier Firmware Version,2.60
Neutralizer Model,3088,Neutralizer S/N,3088011906004
Impactor (cm),0.071,Impactor S/N,7100764
DMA Model,3081,DMA S/N,3081A1903007
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3750,Detector S/N,3750190603,Nano Enhancer , None
Detector Sample Flow (L/min),1.00,Detector Inlet Flow (L/min),1.00
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),25.40
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Units,Concentration (DW)
Weight,Mass
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
Date,7/26/2022,7/26/2022,7/26/2022,7/26/2022,7/26/2022,7/26/2022,7/26/2022,7/26/2022,7/26/2022,7/26/2022,7/26/2022,7/26/2022,7/26/2022,7/26/2022,7/26/2022,7/26/2022,7/26/2022,7/26/2022,7/26/2022,7/26/2022,7/26/2022,7/26/2022,7/26/2022,7/26/2022,7/26/2022,7/26/2022,7/26/2022
Start Time,11:15:00,11:18:00,11:21:00,11:24:00,11:27:00,11:30:00,11:33:00,11:36:00,11:39:00,11:42:00,11:45:00,11:48:00,11:51:00,11:54:00,11:57:00,12:00:00,12:03:00,12:06:00,12:09:01,12:12:00,12:15:00,12:18:00,12:21:00,12:24:00,12:27:01,12:30:00,12:33:00
Sample Temp (C),20.9,21.1,21.2,21.4,21.5,21.6,21.8,21.8,21.9,22.0,22.1,22.2,22.3,22.3,22.4,22.5,22.6,22.6,22.7,22.8,22.8,22.8,22.9,23.0,23.0,23.1,23.1
Sample Pressure (kPa),81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.5,81.6,81.6,81.5,81.5,81.5,81.6,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5
Relative Humidity (%),65.4,65.2,65.0,64.8,64.5,64.1,63.8,63.4,63.1,62.7,62.4,62.1,61.7,61.4,61.1,60.8,60.6,60.3,60.1,59.8,59.6,59.4,59.2,59.0,58.8,58.7,58.5
Mean Free Path (m),8.27947e-008,8.28664e-008,8.29022e-008,8.29739e-008,8.30098e-008,8.30456e-008,8.31173e-008,8.31173e-008,8.31532e-008,8.31890e-008,8.32249e-008,8.32607e-008,8.33988e-008,8.32966e-008,8.33325e-008,8.34706e-008,8.35065e-008,8.35065e-008,8.34401e-008,8.35784e-008,8.35784e-008,8.35784e-008,8.36143e-008,8.36502e-008,8.36502e-008,8.36861e-008,8.36861e-008
Gas Viscosity (Pa*s),1.82241e-005,1.82337e-005,1.82384e-005,1.82480e-005,1.82528e-005,1.82576e-005,1.82672e-005,1.82672e-005,1.82719e-005,1.82767e-005,1.82815e-005,1.82863e-005,1.82911e-005,1.82911e-005,1.82958e-005,1.83006e-005,1.83054e-005,1.83054e-005,1.83102e-005,1.83149e-005,1.83149e-005,1.83149e-005,1.83197e-005,1.83245e-005,1.83245e-005,1.83293e-005,1.83293e-005
Diameter Midpoint (nm)
 15.7,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 16.3,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 16.8,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 17.5,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 18.1,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 18.8,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 19.5,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.002,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
